quality,compression_ratio
0,0.04244126164674018
5,0.044231863510218614
10,0.04770474579827258
15,0.050831762420805345
20,0.05372735422302614
25,0.05652813496390345
30,0.05908700047365794
35,0.06128847676056114
40,0.06314337212666059
45,0.061566870011094406
50,0.061566870011094406
55,0.06314337212666059
60,0.06668468050341256
65,0.07240521278049929
70,0.08073165847037095
75,0.09275231822184357
80,0.11414250428358441
85,0.0866565948126508
90,0.09507125532070457
95,0.11150305334532842
100,0.15152516268084038
