quality,compression_ratio
0,0.03720575192403671
5,0.03818859215508006
10,0.040174776601933415
15,0.04208283927736964
20,0.0439441719410121
25,0.045857161930617056
30,0.04768924860048383
35,0.04945513442030944
40,0.05106175673055221
45,0.05288057144128708
50,0.054499432564142504
55,0.05619721018650679
60,0.05825436385195169
65,0.06088300648816014
70,0.06406263411036547
75,0.06779038569743748
80,0.07387998970032393
85,0.08234495649658426
90,0.09768217552046743
95,0.132610713570459
100,0.27109152724486846
