quality,compression_ratio
0,0.03716847917653454
5,0.03815052467948616
10,0.040014082581785466
15,0.04177019324608278
20,0.04346956032463053
25,0.04519332555559441
30,0.04684024058008793
35,0.048424689976571414
40,0.04614636348319786
45,0.04525062545100819
50,0.04525062545100819
55,0.04614636348319786
60,0.048424689976571414
65,0.05291251951057465
70,0.061300238736318756
75,0.07597950237305809
80,0.1052177078134487
85,0.1610192228830828
90,0.2006008939101576
95,0.2006008939101576
100,0.2006008939101576
