quality,compression_ratio
0,0.037760790023301426
5,0.03817309495729131
10,0.03898936018030791
15,0.039709781195461785
20,0.04030217151503784
25,0.040910059032402656
30,0.04145563986737578
35,0.04189432977401112
40,0.042286528087280215
45,0.04274119202855935
50,0.043070129985726686
55,0.04350214417639149
60,0.04386875224510686
65,0.04429989223487076
70,0.04487686482946725
75,0.045517336198593016
80,0.04636356267066786
85,0.04745639326960674
90,0.049281645277884624
95,0.052709625428755805
100,0.061108947684639175
