quality,compression_ratio
0,0.09029795945615167
5,0.09448800437418342
10,0.10808723253426072
15,0.12086042031579315
20,0.13189967034678754
25,0.14312488675124693
30,0.1525939130185998
35,0.16031024595244983
40,0.16687152107777845
45,0.17399649683857166
50,0.1797071744873209
55,0.18580941466686587
60,0.19307251417000187
65,0.20138211162432884
70,0.21177175091314257
75,0.22406023403152844
80,0.2415490998909633
85,0.2650140825817855
90,0.30368650519911117
95,0.3793771239108252
100,0.5801100221570192
