quality,compression_ratio
0,0.03680123532534579
5,0.03714114053017901
10,0.037930146579649236
15,0.03896178311552485
20,0.040069634075397445
25,0.04121149939759611
30,0.04230107161135889
35,0.043355198952230486
40,0.04426675207344559
45,0.04529926281022211
50,0.04620112024871811
55,0.04714358829270154
60,0.04827583740499026
65,0.049738375512202254
70,0.051552819218432605
75,0.05376009702040544
80,0.0573781761308186
85,0.06235969075540494
90,0.0714071137700947
95,0.09124400377654789
100,0.147540554974521
