quality,compression_ratio
0,0.03678669180126711
5,0.03711539134000693
10,0.03789335066900211
15,0.038876429318472974
20,0.03995153748096626
25,0.04105032854059312
30,0.042109701086870135
35,0.04311805208965804
40,0.043995829266974595
45,0.04499257723962324
50,0.04585724140342623
55,0.046742171133568364
60,0.04783627329745401
65,0.04919780146420703
70,0.050856001627603134
75,0.052914188439567286
80,0.0561505596475222
85,0.0606449854246868
90,0.06874628464617116
95,0.08637247951985708
100,0.12971981066397942
